Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Attawapiskat First Nation - Other,CAN,2392415,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Deninu Kué First Nation - Other,CAN,398736,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Fort Albany First Nation - Other,CAN,1205995,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Government of the NWT - State,CAN,133044,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Kashechewan First Nation - Other,CAN,1763750,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Lutsel K'e Dene First Nation - Other,CAN,1067780,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Ministry of Finance - State,CAN,11310290,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Moose Creek First Nation - Other,CAN,1532128,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
North West Territory Métis Nation - Other,CAN,398736,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Receiver General of Canada - Federal,CAN,14134,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Tlácho Government - Other,CAN,1355319,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Yellowknives Dene First Nation - Other,CAN,450609,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Nogales Municipal,CHL,212136,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Lo Barnechea Municipal,CHL,651689,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Colina Municipal,CHL,118197,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Servicio de Impuestos Internos - Nacional,CHL,69247341,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Chilean Municipalities,CHL,5690401,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Tesorería General de la República - Nacional,CHL,33892306,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
ACTIVOS MINEROS S.A.C. - Federal,PER,3709025,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
FONDO DE DESARROLLO DE MOQUEGUA - Local,PER,183475,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
MINISTERIO DE ENERGIA Y MINAS - Federal,PER,461600,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
SUPERINTENDENCIA NACIONAL TRIBUTARIA - Federal,PER,1581313,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Bureau of Land Management,USA,162495,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Batho Pele Health Units (Revamp),ZAF,1290000,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Blouberg Municipality,ZAF,240000,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Chief Licencing Officer - Municipal,ZAF,108833,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Department of Health,ZAF,928998,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Department of social Development,ZAF,430000,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Emalahleni Municipality - Municipal,ZAF,4102627,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Free State Department of Education,ZAF,424000,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Gamagara Mun. Mapoteng Roads,ZAF,778000,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
"Ga-Segonyana Mun, Kagung Roads",ZAF,888000,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Govan Mbeki & Lekwa Local Municipality,ZAF,15698002,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Joe- Morolong Mun.,ZAF,782000,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Limpopo Department of Education,ZAF,510000,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Limpopo Department of health,ZAF,225247,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
National Department of Higher Education,ZAF,403000,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
North West: Department of Health,ZAF,243000,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Other,ZAF,126000,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
South African Diamond & Precious Metal Regulator - Local,ZAF,679132,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
South African Revenue Service - Federal,ZAF,64863693,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
South African Revenue Service - State,ZAF,212584374,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
The Development Bank of Southern Africa,ZAF,836708,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Tsantsabane Municipality,ZAF,471000,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Minerals Marketing Corporation of Zimbabwe - State,ZWE,2489139,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Ministry of Mines and Mining Development - State,ZWE,283004,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Zambia Mines Development Department,ZMB,205000,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
